,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
728,world/2020/feb/27/new-zealand-economy-faces-serious-impact-from-coronavirus-outbreak,article,world,World news,2020-02-27T02:38:23Z,New Zealand economy faces 'serious impact' from coronavirus outbreak,https://www.theguardian.com/world/2020/feb/27/new-zealand-economy-faces-serious-impact-from-coronavirus-outbreak,https://content.guardianapis.com/world/2020/feb/27/new-zealand-economy-faces-serious-impact-from-coronavirus-outbreak,False,pillar/news,News
729,world/2020/feb/26/us-coronavirus-california-case,article,world,World news,2020-02-27T02:34:06Z,New coronavirus case in northern California may be first with no link to travel,https://www.theguardian.com/world/2020/feb/26/us-coronavirus-california-case,https://content.guardianapis.com/world/2020/feb/26/us-coronavirus-california-case,False,pillar/news,News
730,world/2020/feb/26/coronavirus-donald-trump-us-response,article,world,World news,2020-02-27T02:19:17Z,Donald Trump puts Mike Pence in charge of US coronavirus response,https://www.theguardian.com/world/2020/feb/26/coronavirus-donald-trump-us-response,https://content.guardianapis.com/world/2020/feb/26/coronavirus-donald-trump-us-response,False,pillar/news,News
731,football/2020/feb/28/mourinho-kane-ahead-of-schedule-son-could-play-this-season-tottenham,article,football,Football,2020-02-28T22:35:36Z,José Mourinho says Spurs will not take risks with Harry Kane fitness,https://www.theguardian.com/football/2020/feb/28/mourinho-kane-ahead-of-schedule-son-could-play-this-season-tottenham,https://content.guardianapis.com/football/2020/feb/28/mourinho-kane-ahead-of-schedule-son-could-play-this-season-tottenham,False,pillar/sport,Sport
732,sport/2020/feb/28/england-likely-to-be-left-with-sizeable-hole-when-george-kruis-bows-out,article,sport,Sport,2020-02-28T22:00:28Z,England likely to be left with sizeable hole when George Kruis bows out,https://www.theguardian.com/sport/2020/feb/28/england-likely-to-be-left-with-sizeable-hole-when-george-kruis-bows-out,https://content.guardianapis.com/sport/2020/feb/28/england-likely-to-be-left-with-sizeable-hole-when-george-kruis-bows-out,False,pillar/sport,Sport
733,business/live/2020/feb/28/british-airways-easyjet-coronavirus-stock-markets-ftse-dow-global-recession-business-live,liveblog,business,Business,2020-02-28T21:45:08Z,Wall Street and FTSE 100 suffer worst week since 2008 – as it happened,https://www.theguardian.com/business/live/2020/feb/28/british-airways-easyjet-coronavirus-stock-markets-ftse-dow-global-recession-business-live,https://content.guardianapis.com/business/live/2020/feb/28/british-airways-easyjet-coronavirus-stock-markets-ftse-dow-global-recession-business-live,False,pillar/news,News
734,world/2020/feb/28/fears-that-surrey-gp-is-uks-latest-coronavirus-victim,article,world,World news,2020-02-28T21:11:15Z,UK's 20th coronavirus case is first to catch illness in Britain,https://www.theguardian.com/world/2020/feb/28/fears-that-surrey-gp-is-uks-latest-coronavirus-victim,https://content.guardianapis.com/world/2020/feb/28/fears-that-surrey-gp-is-uks-latest-coronavirus-victim,False,pillar/news,News
735,world/2020/feb/28/working-coronavirus-test-kits-promised-soon-in-all-us-states-after-faults-found,article,world,World news,2020-02-28T20:12:30Z,Working coronavirus test kits promised soon in all US states after faults found,https://www.theguardian.com/world/2020/feb/28/working-coronavirus-test-kits-promised-soon-in-all-us-states-after-faults-found,https://content.guardianapis.com/world/2020/feb/28/working-coronavirus-test-kits-promised-soon-in-all-us-states-after-faults-found,False,pillar/news,News
736,politics/2020/feb/28/boris-johnson-not-to-hold-coronavirus-crisis-meeting-cobra-until-monday,article,politics,Politics,2020-02-28T19:03:41Z,Boris Johnson will not hold coronavirus crisis meeting until Monday,https://www.theguardian.com/politics/2020/feb/28/boris-johnson-not-to-hold-coronavirus-crisis-meeting-cobra-until-monday,https://content.guardianapis.com/politics/2020/feb/28/boris-johnson-not-to-hold-coronavirus-crisis-meeting-cobra-until-monday,False,pillar/news,News
737,australia-news/2020/feb/29/morrisons-urgent-manoeuvring-on-coronavirus-is-atonement-for-summers-bushfire-shambles,article,australia-news,Australia news,2020-02-28T19:00:25Z,Morrison's urgent manoeuvring on coronavirus is atonement for summer's bushfire shambles | Katharine Murphy,https://www.theguardian.com/australia-news/2020/feb/29/morrisons-urgent-manoeuvring-on-coronavirus-is-atonement-for-summers-bushfire-shambles,https://content.guardianapis.com/australia-news/2020/feb/29/morrisons-urgent-manoeuvring-on-coronavirus-is-atonement-for-summers-bushfire-shambles,False,pillar/news,News
738,world/2020/feb/29/it-just-seems-sensible-the-australians-stockpiling-for-the-coronavirus,article,world,World news,2020-02-28T19:00:24Z,‘It just seems sensible’: the Australians stockpiling for the coronavirus,https://www.theguardian.com/world/2020/feb/29/it-just-seems-sensible-the-australians-stockpiling-for-the-coronavirus,https://content.guardianapis.com/world/2020/feb/29/it-just-seems-sensible-the-australians-stockpiling-for-the-coronavirus,False,pillar/news,News
